293868
word	neg	pos	rateNeg	ratePos
要	2728	2730	0.19162686147794325	0.19176735037932002
明确	13	12	9.13177858949143E-4	8.429334082607474E-4
欣喜若狂	0	2	0.0	1.4048890137679124E-4
不屑	1	0	7.024445068839562E-5	0.0
欢喜	0	5	0.0	3.5122225344197806E-4
不尽	13	8	9.13177858949143E-4	5.61955605507165E-4
麻木	1	0	7.024445068839562E-5	0.0
晦涩	3	0	2.1073335206518685E-4	0.0
不礼貌	1	0	7.024445068839562E-5	0.0
爱理不理	13	4	9.13177858949143E-4	2.809778027535825E-4
气派	8	86	5.61955605507165E-4	0.006041022759202023
眼花缭乱	2	1	1.4048890137679124E-4	7.024445068839562E-5
粗劣	1	2	7.024445068839562E-5	1.4048890137679124E-4
暧昧	1	0	7.024445068839562E-5	0.0
迫不及待	1	3	7.024445068839562E-5	2.1073335206518685E-4
神秘	0	2	0.0	1.4048890137679124E-4
狂妄	1	0	7.024445068839562E-5	0.0
欣喜	0	4	0.0	2.809778027535825E-4
情愿	21	5	0.001475133464456308	3.5122225344197806E-4
不对	18	19	0.001264400112391121	0.0013346445630795167
褒	1	5	7.024445068839562E-5	3.5122225344197806E-4
令人作呕	3	0	2.1073335206518685E-4	0.0
惊慌	0	2	0.0	1.4048890137679124E-4
嘀咕	1	1	7.024445068839562E-5	7.024445068839562E-5
奖励	2	6	1.4048890137679124E-4	4.214667041303737E-4
冷若冰霜	2	0	1.4048890137679124E-4	0.0
不容	27	38	0.0018966001685866817	0.0026692891261590333
不够格	0	1	0.0	7.024445068839562E-5
喜悦	0	2	0.0	1.4048890137679124E-4
坚定不移	0	1	0.0	7.024445068839562E-5
无特色	1	0	7.024445068839562E-5	0.0
金碧辉煌	0	4	0.0	2.809778027535825E-4
活跃	1	0	7.024445068839562E-5	0.0
顺利	16	42	0.00112391121101433	0.002950266928912616
不宜	0	1	0.0	7.024445068839562E-5
纯一	1	0	7.024445068839562E-5	0.0
兴隆	0	1	0.0	7.024445068839562E-5
羞涩	1	0	7.024445068839562E-5	0.0
惊愕	1	0	7.024445068839562E-5	0.0
不宁	1	0	7.024445068839562E-5	0.0
耐人寻味	0	2	0.0	1.4048890137679124E-4
本质	1	0	7.024445068839562E-5	0.0
发飙	2	0	1.4048890137679124E-4	0.0
不对劲	1	0	7.024445068839562E-5	0.0
好使	8	6	5.61955605507165E-4	4.214667041303737E-4
稀松	2	0	1.4048890137679124E-4	0.0
紧紧	1	0	7.024445068839562E-5	0.0
不起眼	3	5	2.1073335206518685E-4	3.5122225344197806E-4
冷冷	4	6	2.809778027535825E-4	4.214667041303737E-4
省事	3	3	2.1073335206518685E-4	2.1073335206518685E-4
拥挤	6	25	4.214667041303737E-4	0.0017561112672098904
关键	13	28	9.13177858949143E-4	0.001966844619275077
令人毛骨悚然	1	0	7.024445068839562E-5	0.0
强悍	1	0	7.024445068839562E-5	0.0
凌乱	2	4	1.4048890137679124E-4	2.809778027535825E-4
大好	3	11	2.1073335206518685E-4	7.726889575723518E-4
不甘心	1	1	7.024445068839562E-5	7.024445068839562E-5
惨不忍睹	8	6	5.61955605507165E-4	4.214667041303737E-4
冰冷	10	4	7.024445068839561E-4	2.809778027535825E-4
原封不动	2	0	1.4048890137679124E-4	0.0
惊恐	1	0	7.024445068839562E-5	0.0
蠢	3	0	2.1073335206518685E-4	0.0
风雅	0	2	0.0	1.4048890137679124E-4
规范	15	20	0.0010536667603259344	0.0014048890137679123
行	776	1577	0.054509693734195	0.11077549873559989
衍	6	6	4.214667041303737E-4	4.214667041303737E-4
安静	68	387	0.004776622646810902	0.027184602416409104
匪夷所思	5	0	3.5122225344197806E-4	0.0
陶醉	0	2	0.0	1.4048890137679124E-4
尽心尽力	0	2	0.0	1.4048890137679124E-4
弹性	3	3	2.1073335206518685E-4	2.1073335206518685E-4
开朗	0	3	0.0	2.1073335206518685E-4
正义	1	0	7.024445068839562E-5	0.0
兴奋	0	8	0.0	5.61955605507165E-4
认	220	216	0.015453779151447036	0.015172801348693454
过问	5	0	3.5122225344197806E-4	0.0
恋爱	0	2	0.0	1.4048890137679124E-4
土气	0	2	0.0	1.4048890137679124E-4
讨	16	14	0.00112391121101433	9.834223096375386E-4
讶	6	10	4.214667041303737E-4	7.024445068839561E-4
善意	2	2	1.4048890137679124E-4	1.4048890137679124E-4
讲	95	132	0.006673222815397584	0.009272267490868222
讽	5	1	3.5122225344197806E-4	7.024445068839562E-5
快乐	4	7	2.809778027535825E-4	4.917111548187693E-4
许	91	176	0.006392245012644001	0.012363023321157629
讹	7	0	4.917111548187693E-4	0.0
自明	1	0	7.024445068839562E-5	0.0
提心吊胆	3	0	2.1073335206518685E-4	0.0
是的	7	8	4.917111548187693E-4	5.61955605507165E-4
诡	1	0	7.024445068839562E-5	0.0
诧	6	2	4.214667041303737E-4	1.4048890137679124E-4
详	17	14	0.0011941556617027255	9.834223096375386E-4
一定	128	251	0.00899128968811464	0.0176313571227873
庆祝	1	0	7.024445068839562E-5	0.0
误	94	56	0.006602978364709188	0.003933689238550154
绿色	10	30	7.024445068839561E-4	0.0021073335206518687
说	2484	2335	0.1744872155099747	0.16402079235740377
无聊	5	5	3.5122225344197806E-4	3.5122225344197806E-4
诚	169	127	0.01187131216633886	0.008921045237426243
诞	1	12	7.024445068839562E-5	8.429334082607474E-4
典型	19	9	0.0013346445630795167	6.322000561955605E-4
义务	10	0	7.024445068839561E-4	0.0
致敬	0	1	0.0	7.024445068839562E-5
硬实	1	0	7.024445068839562E-5	0.0
奢华	4	7	2.809778027535825E-4	4.917111548187693E-4
锦绣	0	3	0.0	2.1073335206518685E-4
特惠	3	12	2.1073335206518685E-4	8.429334082607474E-4
警	52	21	0.003652711435796572	0.001475133464456308
岂有此理	11	2	7.726889575723518E-4	1.4048890137679124E-4
确定	16	7	0.00112391121101433	4.917111548187693E-4
不妥	2	4	1.4048890137679124E-4	2.809778027535825E-4
平等	2	1	1.4048890137679124E-4	7.024445068839562E-5
茫茫	0	3	0.0	2.1073335206518685E-4
不光明	1	0	7.024445068839562E-5	0.0
